,source,mutation_method,temperature,population_size,num_iterations,best_state,best_score
81,1,shuffle,5,10,50,"[1, 0, 2, 3, 4]",104.1531744
82,1,shuffle,5,10,100,"[1, 0, 2, 3, 4]",104.1531744
83,1,shuffle,5,10,200,"[1, 0, 2, 3, 4]",104.1531744
84,1,shuffle,5,10,500,"[1, 0, 2, 3, 4]",104.1531744
85,1,shuffle,5,20,10,"[1, 0, 2, 3, 4]",104.1531744
86,1,shuffle,5,20,50,"[1, 0, 2, 3, 4]",104.1531744
87,1,shuffle,5,20,100,"[1, 0, 2, 3, 4]",104.1531744
88,1,shuffle,5,20,200,"[1, 0, 2, 3, 4]",104.1531744
89,1,shuffle,5,20,500,"[1, 0, 2, 3, 4]",104.1531744
90,1,shuffle,5,50,10,"[1, 0, 2, 3, 4]",104.1531744
91,1,shuffle,5,50,50,"[1, 0, 2, 3, 4]",104.1531744
92,1,shuffle,5,50,100,"[1, 0, 2, 3, 4]",104.1531744
93,1,shuffle,5,50,200,"[1, 0, 2, 3, 4]",104.1531744
94,1,shuffle,5,50,500,"[1, 0, 2, 3, 4]",104.1531744
95,1,shuffle,5,100,10,"[1, 0, 2, 3, 4]",104.1531744
96,1,shuffle,5,100,50,"[1, 0, 2, 3, 4]",104.1531744
97,1,shuffle,5,100,100,"[1, 0, 2, 3, 4]",104.1531744
98,1,shuffle,5,100,200,"[1, 0, 2, 3, 4]",104.1531744
99,1,shuffle,5,100,500,"[1, 0, 2, 3, 4]",104.1531744
100,1,shuffle,8,5,10,"[1, 0, 2, 3, 4]",104.1531744
101,1,shuffle,8,5,50,"[1, 0, 2, 3, 4]",104.1531744
102,1,shuffle,8,5,100,"[1, 0, 2, 3, 4]",104.1531744
103,1,shuffle,8,5,200,"[1, 0, 2, 3, 4]",104.1531744
104,1,shuffle,8,5,500,"[1, 0, 2, 3, 4]",104.1531744
105,1,shuffle,8,10,10,"[1, 0, 2, 3, 4]",104.1531744
106,1,shuffle,8,10,50,"[1, 0, 2, 3, 4]",104.1531744
107,1,shuffle,8,10,100,"[1, 0, 2, 3, 4]",104.1531744
108,1,shuffle,8,10,200,"[1, 0, 2, 3, 4]",104.1531744
109,1,shuffle,8,10,500,"[1, 0, 2, 3, 4]",104.1531744
110,1,shuffle,8,20,10,"[1, 0, 2, 3, 4]",104.1531744
111,1,shuffle,8,20,50,"[1, 0, 2, 3, 4]",104.1531744
112,1,shuffle,8,20,100,"[1, 0, 2, 3, 4]",104.1531744
